team_name;common_name;season;country;matches_played;matches_played_home;matches_played_away;suspended_matches;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;points_per_game;points_per_game_home;points_per_game_away;league_position;league_position_home;league_position_away;performance_rank;goals_scored;goals_conceded;goal_difference;total_goal_count;total_goal_count_home;total_goal_count_away;goals_scored_home;goals_scored_away;goals_conceded_home;goals_conceded_away;goal_difference_home;goal_difference_away;minutes_per_goal_scored;minutes_per_goal_scored_home;minutes_per_goal_scored_away;minutes_per_goal_conceded;minutes_per_goal_conceded_home;minutes_per_goal_conceded_away;clean_sheets;clean_sheets_home;clean_sheets_away;btts_count;btts_count_home;btts_count_away;fts_count;fts_count_home;fts_count_away;first_team_to_score_count;first_team_to_score_count_home;first_team_to_score_count_away;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away;average_possession;average_possession_home;average_possession_away;shots;shots_home;shots_away;shots_on_target;shots_on_target_home;shots_on_target_away;shots_off_target;shots_off_target_home;shots_off_target_away;fouls;fouls_home;fouls_away;goals_scored_half_time;goals_scored_half_time_home;goals_scored_half_time_away;goals_conceded_half_time;goals_conceded_half_time_home;goals_conceded_half_time_away;goal_difference_half_time;goal_difference_half_time_home;goal_difference_half_time_away;leading_at_half_time;leading_at_half_time_home;leading_at_half_time_away;draw_at_half_time;draw_at_half_time_home;draw_at_half_time_away;losing_at_half_time;losing_at_half_time_home;losing_at_half_time_away;points_per_game_half_time;points_per_game_half_time_home;points_per_game_half_time_away;average_total_goals_per_match;average_total_goals_per_match_home;average_total_goals_per_match_away;goals_scored_per_match;goals_scored_per_match_home;goals_scored_per_match_away;goals_conceded_per_match;goals_conceded_per_match_home;goals_conceded_per_match_away;total_goals_per_match_half_time;total_goals_per_match_half_time_home;total_goals_per_match_half_time_away;goals_scored_per_match_half_time;goals_scored_per_match_half_time_home;goals_scored_per_match_half_time_away;goals_conceded_per_match_half_time;goals_conceded_per_match_half_time_home;goals_conceded_per_match_half_time_away;over05_count;over15_count;over25_count;over35_count;over45_count;over55_count;over05_count_home;over15_count_home;over25_count_home;over35_count_home;over45_count_home;over55_count_home;over05_count_away;over15_count_away;over25_count_away;over35_count_away;over45_count_away;over55_count_away;under05_count;under15_count;under25_count;under35_count;under45_count;under55_count;under05_count_home;under15_count_home;under25_count_home;under35_count_home;under45_count_home;under55_count_home;under05_count_away;under15_count_away;under25_count_away;under35_count_away;under45_count_away;under55_count_away;over05_percentage;over15_percentage;over25_percentage;over35_percentage;over45_percentage;over55_percentage;over05_percentage_home;over15_percentage_home;over25_percentage_home;over35_percentage_home;over45_percentage_home;over55_percentage_home;over05_percentage_away;over15_percentage_away;over25_percentage_away;over35_percentage_away;over45_percentage_away;over55_percentage_away;under05_percentage;under15_percentage;under25_percentage;under35_percentage;under45_percentage;under55_percentage;under05_percentage_home;under15_percentage_home;under25_percentage_home;under35_percentage_home;under45_percentage_home;under55_percentage_home;under05_percentage_away;under15_percentage_away;under25_percentage_away;under35_percentage_away;under45_percentage_away;under55_percentage_away;over05_count_half_time;over15_count_half_time;over25_count_half_time;over05_count_half_time_home;over15_count_half_time_home;over25_count_half_time_home;over05_count_half_time_away;over15_count_half_time_away;over25_count_half_time_away;over05_half_time_percentage;over15_half_time_percentage;over25_half_time_percentage;over05_half_time_percentage_home;over15_half_time_percentage_home;over25_half_time_percentage_home;over05_half_time_percentage_away;over15_half_time_percentage_away;over25_half_time_percentage_away;win_percentage;win_percentage_home;win_percentage_away;home_advantage_percentage;clean_sheet_percentage;clean_sheet_percentage_home;clean_sheet_percentage_away;btts_percentage;btts_percentage_home;btts_percentage_away;fts_percentage;fts_percentage_home;fts_percentage_away;first_team_to_score_percentage;first_team_to_score_percentage_home;first_team_to_score_percentage_away;clean_sheet_half_time;clean_sheet_half_time_home;clean_sheet_half_time_away;clean_sheet_half_time_percentage;clean_sheet_half_time_percentage_home;clean_sheet_half_time_percentage_away;fts_half_time;fts_half_time_home;fts_half_time_away;fts_half_time_percentage;fts_half_time_percentage_home;fts_half_time_percentage_away;btts_half_time;btts_half_time_home;btts_half_time_away;btts_half_time_percentage;btts_half_time_percentage_home;btts_half_time_percentage_away;leading_at_half_time_percentage;leading_at_half_time_percentage_home;leading_at_half_time_percentage_away;draw_at_half_time_percentage;draw_at_half_time_percentage_home;draw_at_half_time_percentage_away;losing_at_half_time_percentage;losing_at_half_time_percentage_home;losing_at_half_time_percentage_away;corners_per_match;corners_per_match_home;corners_per_match_away;cards_per_match;cards_per_match_home;cards_per_match_away;over65_corners_percentage;over75_corners_percentage;over85_corners_percentage;over95_corners_percentage;over105_corners_percentage;over115_corners_percentage;over125_corners_percentage;over135_corners_percentage;xg_for_avg_overall;xg_for_avg_home;xg_for_avg_away;xg_against_avg_overall;xg_against_avg_home;xg_against_avg_away;prediction_risk;goals_scored_min_0_to_10;goals_scored_min_11_to_20;goals_scored_min_21_to_30;goals_scored_min_31_to_40;goals_scored_min_41_to_50;goals_scored_min_51_to_60;goals_scored_min_61_to_70;goals_scored_min_71_to_80;goals_scored_min_81_to_90;goals_conceded_min_0_to_10;goals_conceded_min_11_to_20;goals_conceded_min_21_to_30;goals_conceded_min_31_to_40;goals_conceded_min_41_to_50;goals_conceded_min_51_to_60;goals_conceded_min_61_to_70;goals_conceded_min_71_to_80;goals_conceded_min_81_to_90;draw_percentage_overall;draw_percentage_home;draw_percentage_away;loss_percentage_ovearll;loss_percentage_home;loss_percentage_away;over145_corners_percentage
CA Mineiro;Atlético Mineiro;2025;Brazil;38;19;19;0;12;9;3;12;8;4;14;2;12;1.26;1.84;0.68;10;8;17;10;43;44;-1;87;48;39;30;13;18;26;12;-13;80;57;132;78;95;66;13;9;4;15;9;6;15;4;11;15;12;3;223;132;91;103;54;49;54;55;54;577;335;242;174;102;72;403;233;170;500;262;238;15;12;3;15;3;12;0;9;-9;9;8;1;20;10;10;9;1;8;1.24;1.79;0.68;2.29;2.53;2.05;1.13;1.58;0.68;1.16;0.95;1.37;0.79;0.79;0.79;0.39;0.63;0.16;0.39;0.16;0.63;33;23;15;9;5;2;16;13;9;6;3;1;17;10;6;3;2;1;5;15;23;29;33;36;3;6;10;13;16;18;2;9;13;16;17;18;87;61;39;24;13;5;84;68;47;32;16;5;89;53;32;16;11;5;13;39;61;76;87;95;16;32;53;68;84;95;11;47;68;84;89;95;21;9;0;10;5;0;11;4;0;55;24;0;53;26;0;58;21;0;32;47;16;29;34;47;21;39;47;32;39;21;58;39;63;16;26;17;9;68;89;47;26;10;16;68;53;84;3;1;2;8;5;11;24;42;5;53;53;53;24;5;42;5.87;6.95;4.79;2.71;2.84;2.58;84;79;66;57;47;37;28;28;1.62;1.87;1.36;1.33;1.11;1.54;47;6;1;2;4;4;3;7;7;9;2;5;3;2;8;7;3;3;11;32;42;21;37;11;63;26
SC Corinthians Paulista;Corinthians;2025;Brazil;38;19;19;0;12;8;4;11;6;5;15;5;10;1.24;1.58;0.89;12;13;11;12;42;47;-5;89;45;44;27;15;18;29;9;-14;81;63;114;73;95;59;11;7;4;20;10;10;10;4;6;16;10;6;177;101;76;112;44;68;56;58;54;437;259;178;137;81;56;300;178;122;536;265;271;14;10;4;25;9;16;-11;1;-12;9;6;3;13;7;6;16;6;10;1.05;1.32;0.79;2.34;2.37;2.32;1.11;1.42;0.79;1.24;0.95;1.53;1.03;1;1.05;0.37;0.53;0.21;0.66;0.47;0.84;35;28;17;6;2;1;17;14;9;3;1;1;18;14;8;3;1;0;3;10;21;32;36;37;2;5;10;16;18;18;1;5;11;16;18;19;92;74;45;16;5;3;89;74;47;16;5;5;95;74;42;16;5;0;8;26;55;84;95;97;11;26;53;84;95;95;5;26;58;84;95;100;27;9;3;13;4;2;14;5;1;71;24;8;68;21;11;74;26;5;32;42;21;26;29;37;21;53;53;53;26;21;32;42;53;32;20;12;8;53;63;42;25;10;15;66;53;79;4;3;1;11;16;5;24;32;16;34;37;32;42;32;53;4.66;5.32;4.00;2.95;2.32;3.58;87;79;57;45;34;18;13;3;1.26;1.50;1.03;1.27;1.11;1.43;45;2;3;5;3;4;2;6;4;13;5;3;4;8;8;6;4;1;8;29;32;26;39;26;53;3
CR Vasco da Gama;Vasco da Gama;2025;Brazil;38;19;19;0;13;8;5;6;4;2;19;7;12;1.18;1.47;0.89;14;16;10;14;55;60;-5;115;57;58;31;24;26;34;5;-10;62;55;71;57;66;50;7;4;3;18;10;8;14;6;8;17;9;8;160;93;67;86;39;47;55;56;53;479;281;198;173;98;75;306;183;123;504;267;237;23;12;11;27;13;14;-4;-1;-3;12;5;7;14;8;6;12;6;6;1.32;1.21;1.42;3.03;3;3.05;1.45;1.63;1.26;1.58;1.37;1.79;1.32;1.32;1.32;0.61;0.63;0.58;0.71;0.68;0.74;37;34;21;12;7;3;18;17;9;7;3;2;19;17;12;5;4;1;1;4;17;26;31;35;1;2;10;12;16;17;0;2;7;14;15;18;97;89;55;32;18;8;95;89;47;37;16;11;100;89;63;26;21;5;3;11;45;68;82;92;5;11;53;63;84;89;0;11;37;74;79;95;29;16;5;14;8;3;15;8;2;76;42;13;74;42;16;79;42;11;34;42;26;13;18;21;16;47;53;42;37;32;42;45;47;42;19;9;10;50;47;53;19;9;10;50;47;53;9;6;3;24;32;16;32;26;37;37;42;32;32;32;32;4.21;4.89;3.53;2.26;2.05;2.47;76;68;47;45;39;26;16;13;1.41;1.62;1.19;1.49;1.37;1.61;68;6;3;6;3;8;9;10;4;6;4;6;7;5;7;6;4;8;13;16;21;11;50;37;63;11
EC Bahia;Bahia;2025;Brazil;38;19;19;0;17;14;3;9;3;6;12;2;10;1.58;2.37;0.79;7;3;15;7;50;46;4;96;47;49;33;17;14;32;19;-15;68;52;101;74;122;54;13;10;3;19;9;10;7;0;7;21;15;6;180;100;80;86;41;45;55;57;53;521;294;227;179;106;73;342;188;154;462;238;224;21;13;8;20;5;15;1;8;-7;13;10;3;15;7;8;10;2;8;1.42;1.95;0.89;2.53;2.47;2.58;1.32;1.74;0.89;1.21;0.74;1.68;1.08;0.95;1.21;0.55;0.68;0.42;0.53;0.26;0.79;37;28;19;7;3;2;19;13;9;3;2;1;18;15;10;4;1;1;1;10;19;31;35;36;0;6;10;16;17;18;1;4;9;15;18;18;97;74;50;18;8;5;100;68;47;16;11;5;95;79;53;21;5;5;3;26;50;82;92;95;0;32;53;84;89;95;5;21;47;79;95;95;27;11;3;13;4;1;14;7;2;71;29;8;68;21;5;74;37;11;45;74;16;36;34;53;16;50;47;53;18;0;37;55;79;32;22;15;7;58;79;37;21;8;13;55;42;68;6;2;4;16;11;21;34;53;16;39;37;42;26;11;42;4.74;5.26;4.21;2.26;2.16;2.37;82;74;63;50;37;24;8;8;1.53;1.75;1.32;1.38;1.09;1.66;53;3;4;3;5;6;9;3;6;11;4;2;8;2;8;3;4;9;6;24;16;32;32;11;53;8
SC Internacional;Internacional;2025;Brazil;38;19;19;0;11;8;3;11;6;5;16;5;11;1.16;1.58;0.74;16;14;16;16;44;57;-13;101;47;54;27;17;20;37;7;-20;78;63;101;60;86;46;7;6;1;23;11;12;10;3;7;15;10;5;191;111;80;95;41;54;51;53;49;514;317;197;175;112;63;339;205;134;580;304;276;22;12;10;29;11;18;-7;1;-8;12;7;5;11;6;5;15;6;9;1.24;1.42;1.05;2.66;2.47;2.84;1.16;1.42;0.89;1.5;1.05;1.95;1.34;1.21;1.47;0.58;0.63;0.53;0.76;0.58;0.95;36;30;18;11;4;2;18;15;8;5;1;0;18;15;10;6;3;2;2;8;20;27;34;36;1;4;11;14;18;19;1;4;9;13;16;17;95;79;47;29;11;5;95;79;42;26;5;0;95;79;53;32;16;11;5;21;53;71;89;95;5;21;58;74;95;100;5;21;47;68;84;89;30;13;6;15;5;2;15;8;4;79;34;16;79;26;11;79;42;21;29;42;16;26;18;32;5;61;58;63;26;16;37;39;53;26;18;10;8;47;53;42;21;10;11;55;53;58;7;3;4;18;16;21;32;37;26;29;32;26;39;32;47;5.03;5.84;4.21;2.5;2.16;2.84;89;79;63;47;28;13;11;8;1.48;1.79;1.17;1.33;1.00;1.66;53;3;2;7;7;8;1;3;6;7;9;3;8;2;10;6;10;2;7;29;32;26;42;26;58;5
Clube Atlético Bragantino;Bragantino;2025;Brazil;38;19;19;0;14;9;5;6;4;2;18;6;12;1.26;1.63;0.89;11;12;13;11;45;57;-12;102;51;51;27;18;24;33;3;-15;76;63;95;60;71;52;10;7;3;21;9;12;7;3;4;22;13;9;177;99;78;110;48;62;48;49;47;470;289;181;156;90;66;314;199;115;541;256;285;22;12;10;21;9;12;1;3;-2;13;8;5;14;7;7;11;4;7;1.39;1.63;1.16;2.68;2.68;2.68;1.18;1.42;0.95;1.5;1.26;1.74;1.13;1.11;1.16;0.58;0.63;0.53;0.55;0.47;0.63;38;27;22;10;3;2;19;13;11;6;1;1;19;14;11;4;2;1;0;11;16;28;35;36;0;6;8;13;18;18;0;5;8;15;17;18;100;71;58;26;8;5;100;68;58;32;5;5;100;74;58;21;11;5;0;29;42;74;92;95;0;32;42;68;95;95;0;26;42;79;89;95;27;11;4;13;6;2;14;5;2;71;29;11;68;32;11;74;26;11;37;47;26;18;26;37;16;55;47;63;18;16;21;58;68;47;23;13;10;61;68;53;19;9;10;50;47;53;7;3;4;18;16;21;34;42;26;37;37;37;29;21;37;4.66;5.21;4.11;2.89;2.53;3.26;87;76;63;61;47;34;21;16;1.37;1.64;1.10;1.60;1.39;1.81;61;6;4;4;4;7;5;2;3;10;6;3;2;5;9;4;6;10;12;16;21;11;47;32;63;8
Ceará SC;Ceará;2025;Brazil;38;19;19;0;11;7;4;10;5;5;17;7;10;1.13;1.37;0.89;17;18;7;17;34;40;-6;74;38;36;20;14;18;22;2;-8;101;86;122;86;95;78;11;6;5;15;8;7;14;5;9;18;11;7;166;92;74;87;42;45;42;43;40;451;252;199;153;81;72;298;171;127;515;266;249;15;9;6;19;7;12;-4;2;-6;9;7;2;18;8;10;11;4;7;1.18;1.53;0.84;1.95;2;1.89;0.89;1.05;0.74;1.05;0.95;1.16;0.89;0.84;0.95;0.39;0.47;0.32;0.5;0.37;0.63;36;22;11;4;1;0;19;14;4;1;0;0;17;8;7;3;1;0;2;16;27;34;37;38;0;5;15;18;19;19;2;11;12;16;18;19;95;58;29;11;3;0;100;74;21;5;0;0;89;42;37;16;5;0;5;42;71;89;97;100;0;26;79;95;100;100;11;58;63;84;95;100;25;8;1;13;3;0;12;5;1;66;21;3;68;16;0;63;26;5;29;37;21;14;29;32;26;39;42;37;37;26;47;47;58;37;21;13;8;55;68;42;24;10;14;63;53;74;6;2;4;16;11;21;24;37;11;47;42;53;29;21;37;4.37;4.84;3.89;2.29;2.21;2.37;82;71;66;47;37;34;28;16;1.29;1.41;1.17;1.36;1.25;1.48;37;3;4;3;3;2;7;3;2;7;3;4;4;4;4;2;4;9;6;26;26;26;45;37;53;11
EC Juventude;Juventude;2025;Brazil;38;19;19;0;9;6;3;8;5;3;21;8;13;0.92;1.21;0.63;19;19;19;19;35;69;-34;104;47;57;21;14;26;43;-5;-29;98;81;122;49;66;40;7;4;3;17;9;8;15;6;9;13;10;3;155;83;72;115;48;67;43;43;43;423;246;177;140;86;54;283;160;123;606;301;305;19;14;5;32;11;21;-13;3;-16;10;8;2;9;6;3;19;5;14;1.03;1.58;0.47;2.74;2.47;3;0.92;1.11;0.74;1.82;1.37;2.26;1.34;1.32;1.37;0.5;0.74;0.26;0.84;0.58;1.11;37;31;18;12;4;2;19;16;7;3;1;1;18;15;11;9;3;1;1;7;20;26;34;36;0;3;12;16;18;18;1;4;8;10;16;18;97;82;47;32;11;5;100;84;37;16;5;5;95;79;58;47;16;5;3;18;53;68;89;95;0;16;63;84;95;95;5;21;42;53;84;95;32;13;6;16;7;2;16;6;4;84;34;16;84;37;11;84;32;21;24;32;16;23;18;21;16;45;47;42;39;32;47;34;53;16;13;9;4;34;47;21;23;8;15;61;42;79;8;5;3;21;26;16;26;42;11;24;32;16;50;26;74;4.08;4.37;3.79;3.03;2.53;3.53;76;71;50;37;28;16;5;3;1.20;1.40;1.00;1.61;1.54;1.69;61;5;3;4;2;6;3;2;3;7;2;4;10;11;8;7;7;5;15;21;26;16;55;42;68;3
Fortaleza EC;Fortaleza;2025;Brazil;38;19;19;0;11;8;3;10;3;7;17;8;9;1.13;1.42;0.84;18;17;14;18;43;58;-15;101;46;55;23;20;23;35;0;-15;80;74;86;59;74;49;10;7;3;19;6;13;12;7;5;17;10;7;213;128;85;117;64;53;44;47;42;492;293;199;163;94;69;329;199;130;527;257;270;22;12;10;26;13;13;-4;-1;-3;14;9;5;8;2;6;16;8;8;1.32;1.53;1.11;2.66;2.42;2.89;1.13;1.21;1.05;1.53;1.21;1.84;1.26;1.32;1.21;0.58;0.63;0.53;0.68;0.68;0.68;35;28;18;10;8;2;18;13;7;5;3;0;17;15;11;5;5;2;3;10;20;28;30;36;1;6;12;14;16;19;2;4;8;14;14;17;92;74;47;26;21;5;95;68;37;26;16;0;89;79;58;26;26;11;8;26;53;74;79;95;5;32;63;74;84;100;11;21;42;74;74;89;33;12;3;17;6;2;16;6;1;87;32;8;89;32;11;84;32;5;29;42;16;14;26;37;16;50;32;68;32;37;26;45;53;37;18;10;8;47;53;42;19;9;10;50;47;53;6;2;4;16;11;21;37;47;26;21;11;32;42;42;42;5.61;6.74;4.47;3.08;3.37;2.79;92;87;79;61;50;39;26;21;1.38;1.61;1.15;1.55;1.35;1.75;63;6;4;5;5;6;2;4;6;5;5;7;3;4;11;6;4;6;12;26;16;37;45;42;47;11
Mirassol Futebol Clube;Mirassol;2025;Brazil;38;19;19;0;18;12;6;13;7;6;7;0;7;1.76;2.26;1.26;4;4;5;4;63;39;24;102;59;43;42;21;17;22;25;-1;54;41;81;87;101;78;11;6;5;22;13;9;6;1;5;21;13;8;202;113;89;85;40;45;51;50;52;527;280;247;185;111;74;342;169;173;462;235;227;30;21;9;24;9;15;6;12;-6;14;10;4;11;5;6;13;4;9;1.39;1.84;0.95;2.68;3.11;2.26;1.66;2.21;1.11;1.03;0.89;1.16;1.42;1.58;1.26;0.79;1.11;0.47;0.63;0.47;0.79;37;31;18;8;5;3;18;17;12;6;4;2;19;14;6;2;1;1;1;7;20;30;33;35;1;2;7;13;15;17;0;5;13;17;18;18;97;82;47;21;13;8;95;89;63;32;21;11;100;74;32;11;5;5;3;18;53;79;87;92;5;11;37;68;79;89;0;26;68;89;95;95;31;15;7;16;9;4;15;6;3;82;39;18;84;47;21;79;32;16;47;63;32;24;29;32;26;58;68;47;16;5;26;55;68;42;19;11;8;50;58;42;18;7;11;47;37;58;8;4;4;21;21;21;37;53;21;29;26;32;34;21;47;5.32;5.95;4.68;2.24;2.11;2.37;95;92;74;53;45;34;26;24;1.51;1.64;1.38;1.50;1.33;1.67;63;7;5;7;5;10;6;7;8;8;4;6;5;7;2;3;4;3;5;34;37;32;18;0;37;21
