País;Continente;Confederação;Slug;Competição;Nome completo;Nível;Fórmula;Organizador;2020;2021;2022;2023;2024;2025;;;;;;;;;;
Áustria;Europa;Uefa;2_liga_austria;2. Liga;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Áustria;Europa;Uefa;ofb_cup;ÖFB Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Bélgica;Europa;Uefa;pro_league_belgium;Pro League;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Bélgica;Europa;Uefa;challenger_pro_league;Challenger Pro League;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Bélgica;Europa;Uefa;belgian_cup;Belgian Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Escócia;Europa;Uefa;scottish_premiership;Scottish Premiership;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Escócia;Europa;Uefa;scottish_championship;Championship;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Escócia;Europa;Uefa;scottish_cup;Scottish Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Espanha;Europa;Uefa;laliga;LaLiga;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Espanha;Europa;Uefa;laliga2;LaLiga 2;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Espanha;Europa;Uefa;copa_del_rey;Copa del Rey;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
França;Europa;Uefa;ligue1;Ligue 1;;1;Pontos corridos;;;;;;;;;;;;;;;;;
França;Europa;Uefa;ligue2;Ligue 2;;2;Pontos corridos;;;;;;;;;;;;;;;;;
França;Europa;Uefa;coupe_de_france;Coupe de France;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Grécia;Europa;Uefa;super_league;Super League;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Grécia;Europa;Uefa;super_league_2;Super League 2;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Grécia;Europa;Uefa;greek_cup;Greek Football Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Holanda;Europa;Uefa;eredivisie;Eredivisie;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Holanda;Europa;Uefa;eerste_divisie;Eerste Divisie;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Holanda;Europa;Uefa;knvb_cup;KNVB Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Inglaterra;Europa;Uefa;premier_league_england;Premier League;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Inglaterra;Europa;Uefa;championship_england;Championship;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Inglaterra;Europa;Uefa;league_one_england;League One;;3;Pontos corridos;;;;;;;;;;;;;;;;;
Inglaterra;Europa;Uefa;league_two_england;League Two;;4;Pontos corridos;;;;;;;;;;;;;;;;;
Inglaterra;Europa;Uefa;fa_cup;FA Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Itália;Europa;Uefa;serie_a_italy;Serie A;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Itália;Europa;Uefa;serie_b_italy;Serie B;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Itália;Europa;Uefa;coppa_italia;Coppa Italia;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Portugal;Europa;Uefa;liga_portugal;Liga Portugal;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Portugal;Europa;Uefa;liga_portugal2;Liga Portugal 2;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Portugal;Europa;Uefa;taca_de_portugal;Taça de Portugal;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Rússia;Europa;Uefa;russian_premier_league;Premier League;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Rússia;Europa;Uefa;fnl;FNL;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Rússia;Europa;Uefa;russian_cup;Russian Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Suíça;Europa;Uefa;super_league_swiss;Super League;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Suíça;Europa;Uefa;challenge_league_swiss;Challenge League;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Suíça;Europa;Uefa;swiss_cup;Swiss Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Turquia;Europa;Uefa;super_lig;Süper Lig;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Turquia;Europa;Uefa;tff1_lig;TFF 1. Lig;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Turquia;Europa;Uefa;turkish_cup;Turkish Cup;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
